account_id,credit_cards,open_date,statement_frequency,district_name,num_customers,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payment,max_balance,min_balance
24,0,1996-12-05,monthly,Ostrava - mesto,1,FALSE,NA,NA,NA,NA,NA,26800,15,52,49091,1000
25,0,1996-07-28,monthly,Frydek - Mistek,2,TRUE,30276,2523,12,A,FALSE,63300,15,82,134210,900
26,0,1993-08-08,monthly,Usti nad Orlici,1,FALSE,NA,NA,NA,NA,NA,37203,15,133,83469,800
27,0,1993-09-26,monthly,Opava,1,FALSE,NA,NA,NA,NA,NA,12940,14,135,40464,900
29,0,1994-11-24,monthly,Melnik,1,FALSE,NA,NA,NA,NA,NA,26667,8,100,59950,700
30,0,1995-03-04,monthly,Liberec,2,FALSE,NA,NA,NA,NA,NA,75600,4,130,149154,400
31,0,1994-04-27,monthly,Frydek - Mistek,2,FALSE,NA,NA,NA,NA,NA,61700,15,164,137131,800
32,0,1995-08-28,monthly,Kolin,1,FALSE,NA,NA,NA,NA,NA,24822,13,82,90565,700
33,1,1993-08-26,monthly,Domazlice,2,FALSE,NA,NA,NA,NA,NA,63100,15,131,123696,600
34,1,1993-09-17,weekly,Bruntal,1,FALSE,NA,NA,NA,NA,NA,47768,30,127,94580,600
35,0,1993-07-07,monthly,Prerov,2,FALSE,NA,NA,NA,NA,NA,14950,15,127,32520,600
36,0,1993-07-01,monthly,Hl.m. Praha,2,FALSE,NA,NA,NA,NA,NA,41120,15,134,85055,500
37,0,1997-08-18,monthly,Strakonice,1,TRUE,318480,5308,60,D,TRUE,49437,0,36,104762,-1011
38,0,1997-08-08,weekly,Prachatice,1,TRUE,110736,2307,48,C,FALSE,20762,30,48,55991,13841
39,0,1993-09-22,monthly,Liberec,1,FALSE,NA,NA,NA,NA,NA,7300,15,124,36322,1100
40,0,1993-10-25,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,13000,15,133,41560,700
41,0,1997-08-02,monthly,Olomouc,1,FALSE,NA,NA,NA,NA,NA,25938,15,36,100992,800
42,0,1996-08-16,monthly,Most,1,FALSE,NA,NA,NA,NA,NA,13659,15,63,45322,800
43,1,1994-06-12,monthly,Liberec,1,FALSE,NA,NA,NA,NA,NA,38560,15,112,99572,1100
44,0,1993-05-10,monthly,Ceska Lipa,1,FALSE,NA,NA,NA,NA,NA,11350,15,131,29482,400
45,0,1997-09-02,monthly,Zlin,2,FALSE,NA,NA,NA,NA,NA,25455,5,41,52970,300
47,0,1993-08-08,monthly,Jicin,2,FALSE,NA,NA,NA,NA,NA,63300,9,133,108509,300
48,1,1996-11-17,monthly,Tabor,2,FALSE,NA,NA,NA,NA,NA,34221,15,52,72803,700
49,0,1997-04-06,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,4654,13,43,24004,300
50,0,1994-05-06,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,24195,15,117,90088,900
51,1,1996-05-11,monthly,Bruntal,1,FALSE,NA,NA,NA,NA,NA,30950,15,63,106203,800
52,0,1997-01-29,monthly,Jindrichuv Hradec,1,FALSE,NA,NA,NA,NA,NA,42300,4,48,83077,900
53,0,1995-06-07,monthly,Vsetin,1,FALSE,NA,NA,NA,NA,NA,4277,15,87,27519,700
54,0,1995-05-02,monthly,Kladno,1,FALSE,NA,NA,NA,NA,NA,8070,12,89,29756,1000
55,0,1996-02-19,monthly,Strakonice,1,FALSE,NA,NA,NA,NA,NA,4629,15,65,23445,300
56,0,1994-05-16,monthly,Svitavy,1,FALSE,NA,NA,NA,NA,NA,29600,15,118,78757,900
57,0,1995-05-21,monthly,Hl.m. Praha,2,FALSE,NA,NA,NA,NA,NA,31962,15,87,77726,700
58,0,1996-08-23,monthly,Rokycany,1,FALSE,NA,NA,NA,NA,NA,14250,1,54,28954,-2204
59,0,1994-03-27,monthly,Hradec Kralove,1,FALSE,NA,NA,NA,NA,NA,22880,15,123,89720,600
61,0,1993-12-11,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,5850,15,117,31765,700
62,0,1993-03-28,monthly,Pardubice,1,FALSE,NA,NA,NA,NA,NA,7600,15,135,36366,1100
63,0,1996-11-16,monthly,Domazlice,1,FALSE,NA,NA,NA,NA,NA,11650,15,47,37303,600
64,0,1997-03-11,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,34850,59,30,79559,200
65,1,1996-10-29,monthly,Liberec,1,FALSE,NA,NA,NA,NA,NA,36885,10,53,85379,600
66,1,1993-12-03,after every transaction,Rychnov nad Kneznou,2,FALSE,NA,NA,NA,NA,NA,67070,63,123,129813,400
67,0,1994-10-19,monthly,Jindrichuv Hradec,1,TRUE,165960,6915,24,A,FALSE,62235,15,102,134939,700
68,1,1994-12-20,after every transaction,Litomerice,1,FALSE,NA,NA,NA,NA,NA,61000,50,98,131470,200
69,0,1996-01-12,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,43725,6,123,71708,600
70,0,1995-02-18,monthly,Mlada Boleslav,1,FALSE,NA,NA,NA,NA,NA,20320,15,101,60184,500
71,1,1994-03-05,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,39520,15,118,94860,700
72,0,1996-06-20,weekly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,62800,16,92,156396,1100
73,1,1993-11-08,monthly,Olomouc,1,FALSE,NA,NA,NA,NA,NA,44160,15,128,89175,400
75,0,1995-08-13,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,20300,15,82,49848,700
76,0,1996-05-16,monthly,Usti nad Orlici,1,FALSE,NA,NA,NA,NA,NA,22400,15,73,49609,200
77,0,1996-11-19,monthly,Vyskov,1,FALSE,NA,NA,NA,NA,NA,36200,15,52,56325,400
78,0,1993-07-07,monthly,Ostrava - mesto,1,FALSE,NA,NA,NA,NA,NA,26217,15,137,78733,400
79,0,1996-11-29,monthly,Beroun,1,FALSE,NA,NA,NA,NA,NA,4182,15,47,27474,600
80,0,1995-09-27,monthly,Hradec Kralove,1,FALSE,NA,NA,NA,NA,NA,5250,3,75,28082,900
81,0,1996-07-18,monthly,Ostrava - mesto,1,FALSE,NA,NA,NA,NA,NA,9300,15,74,39080,1000
82,0,1994-05-03,monthly,Plzen - mesto,1,FALSE,NA,NA,NA,NA,NA,61100,15,144,161574,300
83,0,1993-04-16,monthly,Plzen - mesto,2,FALSE,NA,NA,NA,NA,NA,14080,15,147,42435,500
84,0,1995-12-25,after every transaction,Chrudim,1,FALSE,NA,NA,NA,NA,NA,48660,66,93,133184,1100
85,0,1997-03-23,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,8945,15,54,59467,400
86,0,1993-03-07,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,8880,11,141,28700,800
88,0,1996-07-03,monthly,Tachov,2,FALSE,NA,NA,NA,NA,NA,3403,13,61,27174,300
89,0,1997-09-25,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,12000,15,33,39075,600
90,0,1994-07-13,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,36459,15,110,74107,500
91,0,1996-11-06,monthly,Pelhrimov,2,FALSE,NA,NA,NA,NA,NA,45770,1,42,77111,-4188
93,0,1996-06-12,monthly,Benesov,1,FALSE,NA,NA,NA,NA,NA,24400,15,66,38377,500
95,1,1995-03-30,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,35890,7,92,97808,200
96,1,1993-02-18,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,67500,15,146,156580,1100
97,1,1996-05-05,monthly,Ostrava - mesto,1,TRUE,102876,8573,12,A,FALSE,26892,3,67,67288,900
98,0,1997-05-02,monthly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,7700,15,41,25586,1100
99,0,1995-06-27,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,64900,7,93,122885,600
100,0,1993-12-28,monthly,Usti nad Labem,1,FALSE,NA,NA,NA,NA,NA,35040,12,145,84377,600
101,0,1996-04-16,monthly,Jablonec n. Nisou,1,FALSE,NA,NA,NA,NA,NA,46240,15,71,81423,1000
102,0,1993-10-16,monthly,Praha - zapad,1,FALSE,NA,NA,NA,NA,NA,48218,0,118,96777,-7104
103,0,1996-03-10,monthly,Chrudim,1,TRUE,265320,7370,36,D,TRUE,62700,4,84,124758,-1140
104,0,1993-04-15,monthly,Litomerice,1,FALSE,NA,NA,NA,NA,NA,8700,15,133,31741,500
105,1,1997-07-10,monthly,Tabor,1,TRUE,352704,7348,48,C,FALSE,49101,15,30,74694,800
106,1,1994-11-27,monthly,Vyskov,1,FALSE,NA,NA,NA,NA,NA,26648,15,99,76991,500
107,0,1993-11-05,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,10600,15,152,50612,1000
108,1,1995-03-10,monthly,Blansko,1,FALSE,NA,NA,NA,NA,NA,34720,15,94,88609,800
109,1,1997-04-20,monthly,Blansko,1,FALSE,NA,NA,NA,NA,NA,16920,15,70,53624,1100
110,1,1996-07-17,monthly,Liberec,1,TRUE,162576,4516,36,C,FALSE,44480,15,61,79652,900
112,0,1993-03-12,monthly,Kutna Hora,1,FALSE,NA,NA,NA,NA,NA,38500,15,141,52895,200
113,0,1996-07-22,monthly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,6800,15,55,32697,600
114,0,1997-03-14,monthly,Prostejov,1,FALSE,NA,NA,NA,NA,NA,6000,15,39,27332,500
115,1,1993-03-19,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,11498,15,158,52047,800
116,0,1996-03-21,monthly,Mlada Boleslav,1,FALSE,NA,NA,NA,NA,NA,34685,15,68,77466,800
117,0,1993-09-05,monthly,Tachov,1,FALSE,NA,NA,NA,NA,NA,11200,15,129,32382,900
118,0,1997-09-18,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,10900,15,37,40532,600
119,0,1993-05-25,monthly,Plzen - jih,1,FALSE,NA,NA,NA,NA,NA,32288,15,135,70508,800
120,0,1995-06-16,weekly,Znojmo,1,FALSE,NA,NA,NA,NA,NA,64800,24,105,131889,1100
121,0,1997-10-11,monthly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,13100,9,39,37504,200
122,1,1996-10-30,monthly,Tachov,1,FALSE,NA,NA,NA,NA,NA,33903,6,53,86062,900
123,0,1993-03-13,monthly,Tabor,1,FALSE,NA,NA,NA,NA,NA,4843,15,135,27494,200
124,0,1997-12-28,monthly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,10600,10,29,26468,800
125,0,1996-09-07,after every transaction,Benesov,1,FALSE,NA,NA,NA,NA,NA,64000,55,66,130433,200
126,0,1993-10-23,monthly,Kolin,1,FALSE,NA,NA,NA,NA,NA,49750,15,140,118219,200
127,0,1994-02-02,monthly,Rokycany,1,FALSE,NA,NA,NA,NA,NA,6400,10,119,23673,600
128,1,1993-02-19,monthly,Benesov,1,FALSE,NA,NA,NA,NA,NA,38879,15,208,86413,300
129,0,1997-10-01,monthly,Ostrava - mesto,2,FALSE,NA,NA,NA,NA,NA,7200,15,31,29052,600
130,0,1997-02-12,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,7350,15,42,35067,300
131,0,1995-06-13,monthly,Usti nad Orlici,1,FALSE,NA,NA,NA,NA,NA,33000,15,90,48212,5496
132,1,1996-05-11,after every transaction,Teplice,1,TRUE,88440,7370,12,A,FALSE,47976,42,79,144112,200
133,0,1997-10-11,weekly,Zlin,1,FALSE,NA,NA,NA,NA,NA,64600,27,44,144565,900
134,1,1997-12-10,monthly,Chomutov,1,FALSE,NA,NA,NA,NA,NA,14446,15,27,47697,300
135,0,1993-06-15,monthly,Prerov,1,FALSE,NA,NA,NA,NA,NA,24700,15,161,75906,700
136,0,1996-05-14,monthly,Ostrava - mesto,1,FALSE,NA,NA,NA,NA,NA,8100,15,60,32170,600
137,0,1996-07-19,monthly,Karvina,2,FALSE,NA,NA,NA,NA,NA,36000,15,59,81958,900
138,0,1995-09-19,monthly,Domazlice,1,FALSE,NA,NA,NA,NA,NA,11200,100,15,21200,1100
139,1,1997-05-15,weekly,Louny,2,FALSE,NA,NA,NA,NA,NA,49167,30,39,88778,1000
140,0,1996-06-25,monthly,Karlovy Vary,2,FALSE,NA,NA,NA,NA,NA,48742,15,42,84824,300
141,0,1996-03-06,monthly,Louny,1,FALSE,NA,NA,NA,NA,NA,45248,15,69,89665,900
142,0,1993-02-15,monthly,Trutnov,2,FALSE,NA,NA,NA,NA,NA,6200,15,137,30167,900
143,0,1996-11-27,monthly,Tabor,2,FALSE,NA,NA,NA,NA,NA,4924,15,47,27564,500
144,1,1997-04-03,weekly,Praha - vychod,1,FALSE,NA,NA,NA,NA,NA,64700,2,53,123234,-2469
145,0,1996-01-03,monthly,Tachov,2,FALSE,NA,NA,NA,NA,NA,28900,15,94,68969,1100
146,0,1993-09-02,monthly,Kladno,2,FALSE,NA,NA,NA,NA,NA,11050,15,129,38814,500
148,0,1993-06-21,monthly,Mlada Boleslav,2,FALSE,NA,NA,NA,NA,NA,3468,3,129,27206,500
149,0,1997-11-16,monthly,Hradec Kralove,2,FALSE,NA,NA,NA,NA,NA,21200,1,44,58484,300
150,0,1995-03-16,monthly,Opava,1,FALSE,NA,NA,NA,NA,NA,46079,6,130,98752,1900
151,0,1993-09-06,monthly,Sumperk,1,FALSE,NA,NA,NA,NA,NA,10700,15,147,34425,1000
152,0,1996-04-12,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,9900,15,76,35746,1100
153,0,1993-09-19,monthly,Vsetin,1,FALSE,NA,NA,NA,NA,NA,20595,15,129,53039,400
154,0,1994-06-21,monthly,Nachod,1,FALSE,NA,NA,NA,NA,NA,21114,15,111,96137,900
155,0,1995-11-07,monthly,Jihlava,1,FALSE,NA,NA,NA,NA,NA,14560,12,95,38532,300
156,0,1997-10-22,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,8430,3,25,21707,1000
157,0,1997-03-28,monthly,Praha - zapad,1,FALSE,NA,NA,NA,NA,NA,6918,15,40,39576,200
158,0,1995-03-15,monthly,Litomerice,1,FALSE,NA,NA,NA,NA,NA,36822,15,91,83034,700
159,1,1997-02-11,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,33081,15,46,103034,800
160,0,1993-09-04,monthly,Cheb,1,FALSE,NA,NA,NA,NA,NA,57100,15,152,113217,400
161,0,1994-07-04,monthly,Plzen - sever,1,FALSE,NA,NA,NA,NA,NA,14450,15,109,29469,900
162,0,1993-08-25,monthly,Prostejov,1,FALSE,NA,NA,NA,NA,NA,13900,15,125,40827,200
163,0,1993-01-27,monthly,Sokolov,1,FALSE,NA,NA,NA,NA,NA,9050,11,141,43752,900
164,0,1996-09-13,monthly,Prostejov,2,FALSE,NA,NA,NA,NA,NA,47058,6,32,67994,200
165,0,1993-06-01,monthly,Klatovy,1,FALSE,NA,NA,NA,NA,NA,14650,15,135,62489,1000
166,0,1996-08-20,monthly,Pelhrimov,1,FALSE,NA,NA,NA,NA,NA,4566,15,53,31842,800
167,1,1996-02-26,weekly,Rokycany,1,FALSE,NA,NA,NA,NA,NA,55100,30,83,126467,1100
168,0,1993-04-27,monthly,Tachov,1,FALSE,NA,NA,NA,NA,NA,8100,15,133,24794,500
169,0,1995-09-28,monthly,Kladno,1,FALSE,NA,NA,NA,NA,NA,19188,11,82,78256,500
170,0,1996-07-02,monthly,Kromeriz,1,FALSE,NA,NA,NA,NA,NA,25599,15,62,79183,1000
171,0,1996-06-08,monthly,Nachod,1,FALSE,NA,NA,NA,NA,NA,6700,15,63,33192,500
172,1,1993-08-30,monthly,Rakovnik,1,FALSE,NA,NA,NA,NA,NA,46720,7,131,78889,700
173,0,1993-11-26,monthly,Zdar nad Sazavou,1,TRUE,104808,8734,12,A,FALSE,25970,15,156,87882,500
174,0,1996-09-04,monthly,Usti nad Orlici,1,FALSE,NA,NA,NA,NA,NA,3400,14,57,21345,900
176,0,1996-08-12,weekly,Novy Jicin,1,TRUE,27456,2288,12,A,FALSE,61900,30,82,126553,800
177,0,1997-09-26,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,29175,15,32,75171,800
178,0,1997-09-06,monthly,Kromeriz,1,FALSE,NA,NA,NA,NA,NA,2981,10,33,18082,1000
179,0,1997-09-22,weekly,Hl.m. Praha,2,FALSE,NA,NA,NA,NA,NA,49959,30,38,134432,200
180,1,1993-12-14,weekly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,34892,4,133,116418,-2335
181,1,1996-06-11,monthly,Tabor,1,FALSE,NA,NA,NA,NA,NA,16158,15,65,52501,200
182,0,1996-08-24,monthly,Pardubice,1,FALSE,NA,NA,NA,NA,NA,10700,200,6,16900,200
183,0,1993-12-12,monthly,Hradec Kralove,1,FALSE,NA,NA,NA,NA,NA,21963,15,125,63967,200
184,0,1996-02-21,monthly,Vsetin,1,FALSE,NA,NA,NA,NA,NA,29546,15,70,86912,600
185,1,1997-07-04,monthly,Ceska Lipa,1,FALSE,NA,NA,NA,NA,NA,28846,15,37,79865,1000
186,0,1993-07-29,weekly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,59700,12,172,162314,700
187,0,1993-03-28,monthly,Kolin,1,FALSE,NA,NA,NA,NA,NA,4200,15,135,26365,200
188,0,1993-04-20,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,29120,15,139,100010,700
189,0,1997-04-16,monthly,Sumperk,1,FALSE,NA,NA,NA,NA,NA,31530,15,42,76341,700
190,0,1995-03-02,monthly,Ostrava - mesto,2,FALSE,NA,NA,NA,NA,NA,26334,15,97,69474,500
191,1,1997-03-17,monthly,Usti nad Labem,2,FALSE,NA,NA,NA,NA,NA,66314,15,43,126097,600
192,0,1993-01-08,monthly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,13450,15,139,39284,300
193,0,1996-12-22,monthly,Jesenik,1,FALSE,NA,NA,NA,NA,NA,15999,15,52,39963,300
194,0,1996-08-01,monthly,Chrudim,1,FALSE,NA,NA,NA,NA,NA,11000,15,72,38894,400
195,1,1997-02-27,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,21924,7,46,56940,600
196,1,1993-11-14,monthly,Kladno,2,FALSE,NA,NA,NA,NA,NA,29700,15,137,86238,400
197,0,1993-02-25,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,43040,15,144,76344,800
198,0,1993-10-25,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,12450,15,121,30570,900
199,0,1996-10-26,monthly,Karvina,2,FALSE,NA,NA,NA,NA,NA,2977,15,49,29612,700
200,1,1994-07-03,monthly,Pelhrimov,1,FALSE,NA,NA,NA,NA,NA,47200,15,114,125341,900
201,0,1994-11-02,monthly,Vyskov,1,FALSE,NA,NA,NA,NA,NA,23752,15,104,62199,600
204,0,1996-01-13,monthly,Bruntal,1,FALSE,NA,NA,NA,NA,NA,2926,15,67,27125,600
205,0,1997-10-08,monthly,Hl.m. Praha,2,FALSE,NA,NA,NA,NA,NA,10400,15,37,45527,1000
206,0,1995-04-08,monthly,Trebic,1,FALSE,NA,NA,NA,NA,NA,10600,15,119,42635,1100
207,0,1993-07-25,monthly,Benesov,1,FALSE,NA,NA,NA,NA,NA,9300,10,155,36471,900
208,0,1996-03-27,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,22494,12,71,61131,700
209,0,1996-11-24,monthly,Litomerice,1,FALSE,NA,NA,NA,NA,NA,12200,15,65,45817,900
210,0,1996-03-17,monthly,Rychnov nad Kneznou,2,FALSE,NA,NA,NA,NA,NA,25120,15,69,56027,1000
211,1,1997-07-19,monthly,Plzen - sever,1,FALSE,NA,NA,NA,NA,NA,59600,15,46,151101,800
212,1,1993-01-20,weekly,Plzen - jih,2,FALSE,NA,NA,NA,NA,NA,74385,30,146,137979,200
213,1,1995-08-29,monthly,Opava,1,FALSE,NA,NA,NA,NA,NA,36408,10,81,87659,1000
214,0,1997-03-09,monthly,Domazlice,2,FALSE,NA,NA,NA,NA,NA,3146,15,39,17518,500
215,0,1997-11-25,monthly,Tachov,1,FALSE,NA,NA,NA,NA,NA,4590,15,23,19113,1000
216,0,1994-05-16,monthly,Louny,1,FALSE,NA,NA,NA,NA,NA,8600,15,108,36351,500
217,0,1995-01-20,monthly,Vsetin,1,FALSE,NA,NA,NA,NA,NA,19700,15,97,48581,800
218,0,1996-02-06,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,59800,0,104,146909,-2172
219,1,1995-09-06,monthly,Plzen - sever,1,FALSE,NA,NA,NA,NA,NA,26649,15,80,81085,500
220,0,1993-04-09,monthly,Olomouc,1,FALSE,NA,NA,NA,NA,NA,7850,15,133,36356,400
221,0,1996-10-30,monthly,Prachatice,1,FALSE,NA,NA,NA,NA,NA,32151,7,54,69998,300
222,1,1993-03-15,monthly,Litomerice,1,FALSE,NA,NA,NA,NA,NA,51614,15,140,106492,500
223,1,1995-06-13,monthly,Most,1,FALSE,NA,NA,NA,NA,NA,46867,15,64,76631,800
224,0,1996-10-27,monthly,Cesky Krumlov,1,FALSE,NA,NA,NA,NA,NA,9350,15,50,28997,1100
225,0,1993-07-28,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,27520,2,179,92940,1000
226,1,1997-02-23,monthly,Karvina,1,TRUE,109344,9112,12,C,FALSE,28588,15,55,80433,1000
227,1,1995-03-28,monthly,Plzen - jih,1,FALSE,NA,NA,NA,NA,NA,67038,15,91,119200,700
228,0,1993-09-28,monthly,Kolin,1,FALSE,NA,NA,NA,NA,NA,53500,12,129,81057,800
229,0,1997-06-07,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,5492,15,39,32493,1100
230,0,1996-02-26,monthly,Hl.m. Praha,2,FALSE,NA,NA,NA,NA,NA,26240,14,70,66172,600
231,0,1995-04-03,monthly,Domazlice,1,FALSE,NA,NA,NA,NA,NA,3110,11,91,21913,900
232,1,1997-11-29,monthly,Jicin,1,FALSE,NA,NA,NA,NA,NA,46720,12,28,84657,700
234,0,1993-07-15,monthly,Opava,2,FALSE,NA,NA,NA,NA,NA,11000,15,127,29550,500
235,0,1993-10-06,monthly,Usti nad Labem,1,FALSE,NA,NA,NA,NA,NA,5070,13,127,30633,1000
236,0,1996-03-16,monthly,Olomouc,1,FALSE,NA,NA,NA,NA,NA,12800,300,11,24700,900
237,0,1994-03-25,monthly,Svitavy,1,FALSE,NA,NA,NA,NA,NA,6200,2,111,19487,900
238,0,1993-08-15,monthly,Kutna Hora,1,FALSE,NA,NA,NA,NA,NA,3351,15,125,21972,500
239,0,1993-03-01,weekly,Jesenik,1,FALSE,NA,NA,NA,NA,NA,63200,2,184,178670,300
240,0,1997-04-28,monthly,Olomouc,1,FALSE,NA,NA,NA,NA,NA,33858,13,42,67915,300
241,0,1996-09-29,monthly,Cesky Krumlov,1,FALSE,NA,NA,NA,NA,NA,10300,6,69,41009,500
242,0,1996-08-29,monthly,Jesenik,1,FALSE,NA,NA,NA,NA,NA,47520,11,58,72333,500
243,0,1993-11-06,weekly,Brno - venkov,1,FALSE,NA,NA,NA,NA,NA,69500,30,154,157027,900
244,1,1993-02-08,monthly,Karlovy Vary,1,FALSE,NA,NA,NA,NA,NA,10100,15,175,62976,800
245,0,1993-11-25,monthly,Znojmo,1,FALSE,NA,NA,NA,NA,NA,62800,0,148,135093,-1211
246,0,1997-12-20,monthly,Znojmo,1,FALSE,NA,NA,NA,NA,NA,7500,15,23,19310,700
248,0,1995-04-02,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,37274,15,91,74703,700
249,0,1996-12-03,monthly,Plzen - sever,2,FALSE,NA,NA,NA,NA,NA,26390,15,52,64867,600
250,0,1997-05-10,monthly,Breclav,2,FALSE,NA,NA,NA,NA,NA,15200,15,46,52311,500
251,0,1996-04-06,monthly,Ostrava - mesto,1,FALSE,NA,NA,NA,NA,NA,13600,15,74,61297,900
252,0,1996-12-26,monthly,Prachatice,1,FALSE,NA,NA,NA,NA,NA,6600,15,45,52630,1000
253,1,1995-12-05,monthly,Nachod,1,FALSE,NA,NA,NA,NA,NA,47680,2,75,106815,-1213
255,0,1996-11-03,monthly,Frydek - Mistek,1,FALSE,NA,NA,NA,NA,NA,57250,15,53,101534,900
256,1,1995-05-14,monthly,Litomerice,1,FALSE,NA,NA,NA,NA,NA,34200,15,87,76527,1100
257,0,1995-11-05,monthly,Praha - zapad,1,FALSE,NA,NA,NA,NA,NA,64500,15,83,136264,900
258,0,1997-07-09,monthly,Zlin,1,FALSE,NA,NA,NA,NA,NA,6177,15,37,38349,900
259,0,1993-10-28,monthly,Benesov,1,FALSE,NA,NA,NA,NA,NA,14650,15,122,37228,600
