account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
22,1994-03-23,monthly,Hl.m. Praha,1,0,False,,,,,,27600,15,0,68160,1100
23,1993-05-22,monthly,Sokolov,1,0,False,,,,,,40480,15,0,95299,800
24,1996-12-05,monthly,Ostrava - mesto,1,0,False,,,,,,26800,15,0,49091,1000
25,1996-07-28,monthly,Frydek - Mistek,1,0,True,30276.0,2523.0,12.0,A,False,63300,15,0,134210,900
26,1993-08-08,monthly,Usti nad Orlici,1,0,False,,,,,,37203,15,0,83469,800
27,1993-09-26,monthly,Opava,1,0,False,,,,,,12940,14,0,40464,900
29,1994-11-24,monthly,Melnik,2,0,False,,,,,,26667,8,0,59950,700
30,1995-03-04,monthly,Liberec,1,0,False,,,,,,75600,4,0,149154,400
31,1994-04-27,monthly,Frydek - Mistek,1,0,False,,,,,,61700,15,0,137131,800
32,1995-08-28,monthly,Kolin,1,0,False,,,,,,24822,13,0,90565,700
33,1993-08-26,monthly,Domazlice,1,1,False,,,,,,63100,15,0,123696,600
35,1993-07-07,monthly,Prerov,1,0,False,,,,,,14950,15,0,32520,600
36,1993-07-01,monthly,Hl.m. Praha,1,0,False,,,,,,41120,15,0,85055,500
37,1997-08-18,monthly,Strakonice,1,0,True,318480.0,5308.0,60.0,D,True,49437,0,0,104762,-1011
39,1993-09-22,monthly,Liberec,1,0,False,,,,,,7300,15,0,36322,1100
40,1993-10-25,monthly,Zlin,1,0,False,,,,,,13000,15,0,41560,700
41,1997-08-02,monthly,Olomouc,1,0,False,,,,,,25938,15,0,100992,800
42,1996-08-16,monthly,Most,1,0,False,,,,,,13659,15,0,45322,800
43,1994-06-12,monthly,Liberec,1,1,False,,,,,,38560,15,0,99572,1100
44,1993-05-10,monthly,Ceska Lipa,1,0,False,,,,,,11350,15,0,29482,400
45,1997-09-02,monthly,Zlin,1,0,False,,,,,,25455,5,0,52970,300
47,1993-08-08,monthly,Jicin,1,0,False,,,,,,63300,9,0,108509,300
48,1996-11-17,monthly,Tabor,2,1,False,,,,,,34221,15,0,72803,700
49,1997-04-06,monthly,Hl.m. Praha,1,0,False,,,,,,4654,13,0,24004,300
50,1994-05-06,monthly,Hl.m. Praha,1,0,False,,,,,,24195,15,0,90088,900
51,1996-05-11,monthly,Bruntal,1,1,False,,,,,,30950,15,0,106203,800
52,1997-01-29,monthly,Jindrichuv Hradec,1,0,False,,,,,,42300,4,0,83077,900
53,1995-06-07,monthly,Vsetin,1,0,False,,,,,,4277,15,0,27519,700
54,1995-05-02,monthly,Kladno,1,0,False,,,,,,8070,12,0,29756,1000
55,1996-02-19,monthly,Strakonice,1,0,False,,,,,,4629,15,0,23445,300
56,1994-05-16,monthly,Svitavy,1,0,False,,,,,,29600,15,0,78757,900
57,1995-05-21,monthly,Hl.m. Praha,1,0,False,,,,,,31962,15,0,77726,700
58,1996-08-23,monthly,Rokycany,1,0,False,,,,,,14250,1,0,28954,-2204
59,1994-03-27,monthly,Hradec Kralove,1,0,False,,,,,,22880,15,0,89720,600
61,1993-12-11,monthly,Karvina,2,0,False,,,,,,5850,15,0,31765,700
62,1993-03-28,monthly,Pardubice,1,0,False,,,,,,7600,15,0,36366,1100
63,1996-11-16,monthly,Domazlice,2,0,False,,,,,,11650,15,0,37303,600
64,1997-03-11,monthly,Zlin,1,0,False,,,,,,34850,59,0,79559,200
65,1996-10-29,monthly,Liberec,1,1,False,,,,,,36885,10,0,85379,600
67,1994-10-19,monthly,Jindrichuv Hradec,1,0,True,165960.0,6915.0,24.0,A,False,62235,15,0,134939,700
69,1996-01-12,monthly,Zlin,1,0,False,,,,,,43725,6,0,71708,600
70,1995-02-18,monthly,Mlada Boleslav,2,0,False,,,,,,20320,15,0,60184,500
71,1994-03-05,monthly,Hl.m. Praha,2,1,False,,,,,,39520,15,0,94860,700
73,1993-11-08,monthly,Olomouc,1,1,False,,,,,,44160,15,0,89175,400
75,1995-08-13,monthly,Hl.m. Praha,1,0,False,,,,,,20300,15,0,49848,700
76,1996-05-16,monthly,Usti nad Orlici,1,0,False,,,,,,22400,15,0,49609,200
77,1996-11-19,monthly,Vyskov,1,0,False,,,,,,36200,15,0,56325,400
78,1993-07-07,monthly,Ostrava - mesto,1,0,False,,,,,,26217,15,0,78733,400
79,1996-11-29,monthly,Beroun,1,0,False,,,,,,4182,15,0,27474,600
80,1995-09-27,monthly,Hradec Kralove,2,0,False,,,,,,5250,3,0,28082,900
81,1996-07-18,monthly,Ostrava - mesto,1,0,False,,,,,,9300,15,0,39080,1000
82,1994-05-03,monthly,Plzen - mesto,1,0,False,,,,,,61100,15,0,161574,300
83,1993-04-16,monthly,Plzen - mesto,2,0,False,,,,,,14080,15,0,42435,500
85,1997-03-23,monthly,Frydek - Mistek,1,0,False,,,,,,8945,15,0,59467,400
86,1993-03-07,monthly,Brno - mesto,2,0,False,,,,,,8880,11,0,28700,800
88,1996-07-03,monthly,Tachov,1,0,False,,,,,,3403,13,0,27174,300
89,1997-09-25,monthly,Frydek - Mistek,1,0,False,,,,,,12000,15,0,39075,600
90,1994-07-13,monthly,Hl.m. Praha,1,0,False,,,,,,36459,15,0,74107,500
91,1996-11-06,monthly,Pelhrimov,1,0,False,,,,,,45770,1,0,77111,-4188
93,1996-06-12,monthly,Benesov,1,0,False,,,,,,24400,15,0,38377,500
95,1995-03-30,monthly,Hl.m. Praha,2,1,False,,,,,,35890,7,0,97808,200
96,1993-02-18,monthly,Frydek - Mistek,2,1,False,,,,,,67500,15,0,156580,1100
97,1996-05-05,monthly,Ostrava - mesto,2,1,True,102876.0,8573.0,12.0,A,False,26892,3,0,67288,900
98,1997-05-02,monthly,Brno - venkov,2,0,False,,,,,,7700,15,0,25586,1100
99,1995-06-27,monthly,Hl.m. Praha,1,0,False,,,,,,64900,7,0,122885,600
100,1993-12-28,monthly,Usti nad Labem,1,0,False,,,,,,35040,12,0,84377,600
101,1996-04-16,monthly,Jablonec n. Nisou,1,0,False,,,,,,46240,15,0,81423,1000
102,1993-10-16,monthly,Praha - zapad,1,0,False,,,,,,48218,0,0,96777,-7104
103,1996-03-10,monthly,Chrudim,1,0,True,265320.0,7370.0,36.0,D,True,62700,4,0,124758,-1140
104,1993-04-15,monthly,Litomerice,2,0,False,,,,,,8700,15,0,31741,500
105,1997-07-10,monthly,Tabor,1,1,True,352704.0,7348.0,48.0,C,False,49101,15,0,74694,800
106,1994-11-27,monthly,Vyskov,1,1,False,,,,,,26648,15,0,76991,500
107,1993-11-05,monthly,Zlin,1,0,False,,,,,,10600,15,0,50612,1000
108,1995-03-10,monthly,Blansko,1,1,False,,,,,,34720,15,0,88609,800
109,1997-04-20,monthly,Blansko,1,1,False,,,,,,16920,15,0,53624,1100
110,1996-07-17,monthly,Liberec,1,1,True,162576.0,4516.0,36.0,C,False,44480,15,0,79652,900
112,1993-03-12,monthly,Kutna Hora,2,0,False,,,,,,38500,15,0,52895,200
113,1996-07-22,monthly,Brno - venkov,1,0,False,,,,,,6800,15,0,32697,600
114,1997-03-14,monthly,Prostejov,1,0,False,,,,,,6000,15,0,27332,500
115,1993-03-19,monthly,Frydek - Mistek,1,1,False,,,,,,11498,15,0,52047,800
116,1996-03-21,monthly,Mlada Boleslav,2,0,False,,,,,,34685,15,0,77466,800
117,1993-09-05,monthly,Tachov,1,0,False,,,,,,11200,15,0,32382,900
118,1997-09-18,monthly,Frydek - Mistek,1,0,False,,,,,,10900,15,0,40532,600
119,1993-05-25,monthly,Plzen - jih,1,0,False,,,,,,32288,15,0,70508,800
121,1997-10-11,monthly,Brno - venkov,1,0,False,,,,,,13100,9,0,37504,200
122,1996-10-30,monthly,Tachov,1,1,False,,,,,,33903,6,0,86062,900
123,1993-03-13,monthly,Tabor,2,0,False,,,,,,4843,15,0,27494,200
124,1997-12-28,monthly,Brno - venkov,1,0,False,,,,,,10600,10,0,26468,800
126,1993-10-23,monthly,Kolin,1,0,False,,,,,,49750,15,0,118219,200
127,1994-02-02,monthly,Rokycany,1,0,False,,,,,,6400,10,0,23673,600
128,1993-02-19,monthly,Benesov,1,1,False,,,,,,38879,15,0,86413,300
129,1997-10-01,monthly,Ostrava - mesto,2,0,False,,,,,,7200,15,0,29052,600
130,1997-02-12,monthly,Brno - mesto,1,0,False,,,,,,7350,15,0,35067,300
131,1995-06-13,monthly,Usti nad Orlici,1,0,False,,,,,,33000,15,0,48212,5496
134,1997-12-10,monthly,Chomutov,1,1,False,,,,,,14446,15,0,47697,300
135,1993-06-15,monthly,Prerov,1,0,False,,,,,,24700,15,0,75906,700
136,1996-05-14,monthly,Ostrava - mesto,1,0,False,,,,,,8100,15,0,32170,600
137,1996-07-19,monthly,Karvina,1,0,False,,,,,,36000,15,0,81958,900
138,1995-09-19,monthly,Domazlice,2,0,False,,,,,,11200,100,0,21200,1100
140,1996-06-25,monthly,Karlovy Vary,1,0,False,,,,,,48742,15,0,84824,300
141,1996-03-06,monthly,Louny,2,0,False,,,,,,45248,15,0,89665,900
142,1993-02-15,monthly,Trutnov,2,0,False,,,,,,6200,15,0,30167,900
143,1996-11-27,monthly,Tabor,1,0,False,,,,,,4924,15,0,27564,500
145,1996-01-03,monthly,Tachov,1,0,False,,,,,,28900,15,0,68969,1100
146,1993-09-02,monthly,Kladno,1,0,False,,,,,,11050,15,0,38814,500
148,1993-06-21,monthly,Mlada Boleslav,1,0,False,,,,,,3468,3,0,27206,500
149,1997-11-16,monthly,Hradec Kralove,1,0,False,,,,,,21200,1,0,58484,300
150,1995-03-16,monthly,Opava,1,0,False,,,,,,46079,6,0,98752,1900
151,1993-09-06,monthly,Sumperk,2,0,False,,,,,,10700,15,0,34425,1000
152,1996-04-12,monthly,Hl.m. Praha,2,0,False,,,,,,9900,15,0,35746,1100
153,1993-09-19,monthly,Vsetin,1,0,False,,,,,,20595,15,0,53039,400
154,1994-06-21,monthly,Nachod,1,0,False,,,,,,21114,15,0,96137,900
155,1995-11-07,monthly,Jihlava,1,0,False,,,,,,14560,12,0,38532,300
156,1997-10-22,monthly,Zlin,1,0,False,,,,,,8430,3,0,21707,1000
157,1997-03-28,monthly,Praha - zapad,1,0,False,,,,,,6918,15,0,39576,200
158,1995-03-15,monthly,Litomerice,2,0,False,,,,,,36822,15,0,83034,700
159,1997-02-11,monthly,Karvina,1,1,False,,,,,,33081,15,0,103034,800
160,1993-09-04,monthly,Cheb,1,0,False,,,,,,57100,15,0,113217,400
161,1994-07-04,monthly,Plzen - sever,1,0,False,,,,,,14450,15,0,29469,900
162,1993-08-25,monthly,Prostejov,2,0,False,,,,,,13900,15,0,40827,200
163,1993-01-27,monthly,Sokolov,1,0,False,,,,,,9050,11,0,43752,900
164,1996-09-13,monthly,Prostejov,1,0,False,,,,,,47058,6,0,67994,200
165,1993-06-01,monthly,Klatovy,2,0,False,,,,,,14650,15,0,62489,1000
166,1996-08-20,monthly,Pelhrimov,1,0,False,,,,,,4566,15,0,31842,800
168,1993-04-27,monthly,Tachov,2,0,False,,,,,,8100,15,0,24794,500
169,1995-09-28,monthly,Kladno,1,0,False,,,,,,19188,11,0,78256,500
170,1996-07-02,monthly,Kromeriz,1,0,False,,,,,,25599,15,0,79183,1000
171,1996-06-08,monthly,Nachod,1,0,False,,,,,,6700,15,0,33192,500
172,1993-08-30,monthly,Rakovnik,2,1,False,,,,,,46720,7,0,78889,700
173,1993-11-26,monthly,Zdar nad Sazavou,2,0,True,104808.0,8734.0,12.0,A,False,25970,15,0,87882,500
174,1996-09-04,monthly,Usti nad Orlici,1,0,False,,,,,,3400,14,0,21345,900
177,1997-09-26,monthly,Hl.m. Praha,1,0,False,,,,,,29175,15,0,75171,800
178,1997-09-06,monthly,Kromeriz,1,0,False,,,,,,2981,10,0,18082,1000
181,1996-06-11,monthly,Tabor,1,1,False,,,,,,16158,15,0,52501,200
182,1996-08-24,monthly,Pardubice,1,0,False,,,,,,10700,200,0,16900,200
183,1993-12-12,monthly,Hradec Kralove,1,0,False,,,,,,21963,15,0,63967,200
184,1996-02-21,monthly,Vsetin,1,0,False,,,,,,29546,15,0,86912,600
185,1997-07-04,monthly,Ceska Lipa,1,1,False,,,,,,28846,15,0,79865,1000
187,1993-03-28,monthly,Kolin,1,0,False,,,,,,4200,15,0,26365,200
188,1993-04-20,monthly,Brno - mesto,1,0,False,,,,,,29120,15,0,100010,700
189,1997-04-16,monthly,Sumperk,1,0,False,,,,,,31530,15,0,76341,700
190,1995-03-02,monthly,Ostrava - mesto,1,0,False,,,,,,26334,15,0,69474,500
191,1997-03-17,monthly,Usti nad Labem,1,1,False,,,,,,66314,15,0,126097,600
192,1993-01-08,monthly,Brno - venkov,1,0,False,,,,,,13450,15,0,39284,300
193,1996-12-22,monthly,Jesenik,2,0,False,,,,,,15999,15,0,39963,300
194,1996-08-01,monthly,Chrudim,1,0,False,,,,,,11000,15,0,38894,400
195,1997-02-27,monthly,Karvina,2,1,False,,,,,,21924,7,0,56940,600
196,1993-11-14,monthly,Kladno,1,1,False,,,,,,29700,15,0,86238,400
197,1993-02-25,monthly,Hl.m. Praha,1,0,False,,,,,,43040,15,0,76344,800
198,1993-10-25,monthly,Karvina,1,0,False,,,,,,12450,15,0,30570,900
199,1996-10-26,monthly,Karvina,1,0,False,,,,,,2977,15,0,29612,700
200,1994-07-03,monthly,Pelhrimov,1,1,False,,,,,,47200,15,0,125341,900
201,1994-11-02,monthly,Vyskov,1,0,False,,,,,,23752,15,0,62199,600
204,1996-01-13,monthly,Bruntal,1,0,False,,,,,,2926,15,0,27125,600
205,1997-10-08,monthly,Hl.m. Praha,1,0,False,,,,,,10400,15,0,45527,1000
206,1995-04-08,monthly,Trebic,2,0,False,,,,,,10600,15,0,42635,1100
207,1993-07-25,monthly,Benesov,1,0,False,,,,,,9300,10,0,36471,900
208,1996-03-27,monthly,Brno - mesto,1,0,False,,,,,,22494,12,0,61131,700
209,1996-11-24,monthly,Litomerice,1,0,False,,,,,,12200,15,0,45817,900
210,1996-03-17,monthly,Rychnov nad Kneznou,1,0,False,,,,,,25120,15,0,56027,1000
211,1997-07-19,monthly,Plzen - sever,1,1,False,,,,,,59600,15,0,151101,800
213,1995-08-29,monthly,Opava,1,1,False,,,,,,36408,10,0,87659,1000
214,1997-03-09,monthly,Domazlice,2,0,False,,,,,,3146,15,0,17518,500
215,1997-11-25,monthly,Tachov,2,0,False,,,,,,4590,15,0,19113,1000
216,1994-05-16,monthly,Louny,1,0,False,,,,,,8600,15,0,36351,500
217,1995-01-20,monthly,Vsetin,1,0,False,,,,,,19700,15,0,48581,800
218,1996-02-06,monthly,Frydek - Mistek,1,0,False,,,,,,59800,0,0,146909,-2172
219,1995-09-06,monthly,Plzen - sever,1,1,False,,,,,,26649,15,0,81085,500
220,1993-04-09,monthly,Olomouc,1,0,False,,,,,,7850,15,0,36356,400
221,1996-10-30,monthly,Prachatice,1,0,False,,,,,,32151,7,0,69998,300
222,1993-03-15,monthly,Litomerice,1,1,False,,,,,,51614,15,0,106492,500
223,1995-06-13,monthly,Most,1,1,False,,,,,,46867,15,0,76631,800
224,1996-10-27,monthly,Cesky Krumlov,1,0,False,,,,,,9350,15,0,28997,1100
225,1993-07-28,monthly,Hl.m. Praha,2,0,False,,,,,,27520,2,0,92940,1000
226,1997-02-23,monthly,Karvina,1,1,True,109344.0,9112.0,12.0,C,False,28588,15,0,80433,1000
227,1995-03-28,monthly,Plzen - jih,1,1,False,,,,,,67038,15,0,119200,700
228,1993-09-28,monthly,Kolin,1,0,False,,,,,,53500,12,0,81057,800
229,1997-06-07,monthly,Hl.m. Praha,1,0,False,,,,,,5492,15,0,32493,1100
230,1996-02-26,monthly,Hl.m. Praha,2,0,False,,,,,,26240,14,0,66172,600
231,1995-04-03,monthly,Domazlice,2,0,False,,,,,,3110,11,0,21913,900
232,1997-11-29,monthly,Jicin,1,1,False,,,,,,46720,12,0,84657,700
234,1993-07-15,monthly,Opava,2,0,False,,,,,,11000,15,0,29550,500
235,1993-10-06,monthly,Usti nad Labem,1,0,False,,,,,,5070,13,0,30633,1000
236,1996-03-16,monthly,Olomouc,2,0,False,,,,,,12800,300,0,24700,900
237,1994-03-25,monthly,Svitavy,1,0,False,,,,,,6200,2,0,19487,900
238,1993-08-15,monthly,Kutna Hora,1,0,False,,,,,,3351,15,0,21972,500
240,1997-04-28,monthly,Olomouc,2,0,False,,,,,,33858,13,0,67915,300
241,1996-09-29,monthly,Cesky Krumlov,1,0,False,,,,,,10300,6,0,41009,500
242,1996-08-29,monthly,Jesenik,1,0,False,,,,,,47520,11,0,72333,500
244,1993-02-08,monthly,Karlovy Vary,1,1,False,,,,,,10100,15,0,62976,800
245,1993-11-25,monthly,Znojmo,1,0,False,,,,,,62800,0,0,135093,-1211
246,1997-12-20,monthly,Znojmo,2,0,False,,,,,,7500,15,0,19310,700
248,1995-04-02,monthly,Hl.m. Praha,1,0,False,,,,,,37274,15,0,74703,700
249,1996-12-03,monthly,Plzen - sever,1,0,False,,,,,,26390,15,0,64867,600
250,1997-05-10,monthly,Breclav,1,0,False,,,,,,15200,15,0,52311,500
251,1996-04-06,monthly,Ostrava - mesto,1,0,False,,,,,,13600,15,0,61297,900
252,1996-12-26,monthly,Prachatice,1,0,False,,,,,,6600,15,0,52630,1000
253,1995-12-05,monthly,Nachod,1,1,False,,,,,,47680,2,0,106815,-1213
255,1996-11-03,monthly,Frydek - Mistek,1,0,False,,,,,,57250,15,0,101534,900
256,1995-05-14,monthly,Litomerice,1,1,False,,,,,,34200,15,0,76527,1100
257,1995-11-05,monthly,Praha - zapad,1,0,False,,,,,,64500,15,0,136264,900
258,1997-07-09,monthly,Zlin,1,0,False,,,,,,6177,15,0,38349,900
259,1993-10-28,monthly,Benesov,1,0,False,,,,,,14650,15,0,37228,600
260,1995-10-14,monthly,Karlovy Vary,2,0,False,,,,,,19200,15,0,56754,600
261,1996-10-07,monthly,Brno - mesto,1,0,False,,,,,,9800,11,0,26402,200
262,1996-01-27,monthly,Prerov,1,0,False,,,,,,9800,200,0,23400,200
264,1996-02-09,monthly,Cesky Krumlov,1,0,False,,,,,,19520,14,0,44212,900
265,1996-07-05,monthly,Prachatice,2,0,False,,,,,,8300,15,0,28571,600
266,1994-05-11,monthly,Pardubice,1,1,False,,,,,,74628,15,0,137653,400
267,1995-04-26,monthly,Louny,2,0,False,,,,,,4847,15,0,30016,500
268,1996-05-29,monthly,Beroun,1,0,False,,,,,,49695,15,0,124186,500
269,1996-08-30,monthly,Beroun,1,0,False,,,,,,12000,4,0,43387,700
270,1995-01-23,monthly,Plzen - jih,2,1,False,,,,,,36960,15,0,116900,1100
271,1996-08-13,monthly,Hl.m. Praha,1,0,False,,,,,,12500,15,0,62743,400
272,1996-10-23,monthly,Praha - zapad,1,0,False,,,,,,34700,15,0,57855,1100
274,1993-08-20,monthly,Sumperk,1,0,False,,,,,,30597,15,0,68094,300
275,1996-01-02,monthly,Rokycany,1,0,False,,,,,,3390,12,0,22668,800
276,1997-12-08,monthly,Louny,1,1,True,160920.0,4470.0,36.0,C,False,40234,15,0,74906,700
278,1996-04-08,monthly,Opava,1,1,False,,,,,,31124,15,0,97478,700
279,1993-04-14,monthly,Most,2,0,False,,,,,,3300,15,0,32821,400
280,1993-01-23,monthly,Klatovy,1,0,False,,,,,,18065,15,0,69718,300
281,1996-10-27,monthly,Hl.m. Praha,2,1,False,,,,,,36320,13,0,72297,900
282,1997-05-12,monthly,Jesenik,2,0,False,,,,,,30992,15,0,69350,200
283,1996-04-18,monthly,Chrudim,1,0,False,,,,,,6950,4,0,30907,800
284,1997-07-18,monthly,Brno - mesto,1,0,False,,,,,,29128,15,0,66377,900
285,1995-05-08,monthly,Pelhrimov,2,0,False,,,,,,45120,15,0,105299,600
286,1996-03-27,monthly,Novy Jicin,2,1,False,,,,,,35096,15,0,74623,300
287,1993-10-27,monthly,Jindrichuv Hradec,1,0,False,,,,,,6300,15,0,27025,600
288,1995-03-18,monthly,Klatovy,1,0,False,,,,,,5315,15,0,37478,900
289,1994-03-17,monthly,Hl.m. Praha,1,0,False,,,,,,26172,15,0,69171,300
290,1993-12-02,monthly,Breclav,1,0,True,123696.0,2577.0,48.0,A,False,60000,15,0,144053,300
291,1997-06-08,monthly,Melnik,1,0,False,,,,,,63200,15,0,168515,7419
292,1997-02-26,monthly,Semily,2,0,False,,,,,,16300,9,0,29120,400
293,1997-05-04,monthly,Hl.m. Praha,2,0,False,,,,,,16155,15,0,50469,600
294,1997-01-05,monthly,Melnik,1,1,False,,,,,,22935,15,0,79589,700
295,1997-11-23,monthly,Zdar nad Sazavou,1,0,False,,,,,,31446,15,0,64950,200
296,1996-02-14,monthly,Semily,1,0,False,,,,,,11200,15,0,24955,300
297,1996-09-08,monthly,Ostrava - mesto,1,0,False,,,,,,46581,4,0,65624,200
298,1997-12-02,monthly,Jablonec n. Nisou,2,0,False,,,,,,39680,15,0,46829,1100
299,1993-04-05,monthly,Vsetin,1,0,False,,,,,,64100,15,0,154088,600
300,1993-06-23,monthly,Hl.m. Praha,2,1,False,,,,,,9000,15,0,76942,400
301,1995-09-10,monthly,Prostejov,2,0,False,,,,,,2925,15,0,24988,300
302,1996-05-09,monthly,Melnik,1,0,False,,,,,,6800,15,0,37845,6438
303,1996-07-25,monthly,Novy Jicin,1,1,True,112752.0,3132.0,36.0,C,False,35360,15,0,72230,900
304,1997-03-20,monthly,Kladno,1,0,False,,,,,,49764,15,0,95914,700
305,1996-10-18,monthly,Chomutov,1,0,False,,,,,,4430,15,0,23264,200
306,1993-06-08,monthly,Jindrichuv Hradec,1,0,False,,,,,,8600,15,0,34237,1000
307,1997-08-07,monthly,Plzen - mesto,1,1,False,,,,,,33120,15,0,74048,700
308,1995-10-16,monthly,Trebic,1,0,False,,,,,,13700,5,0,40581,400
309,1997-04-25,monthly,Ceske Budejovice,1,0,True,91248.0,1901.0,48.0,C,False,28726,15,0,59726,900
311,1997-08-08,monthly,Svitavy,2,1,False,,,,,,28320,15,0,68833,800
312,1996-01-03,monthly,Usti nad Labem,1,0,False,,,,,,17595,15,0,74047,500
313,1996-07-06,monthly,Opava,2,0,False,,,,,,3442,13,0,27975,700
315,1997-12-08,monthly,Jicin,1,0,False,,,,,,11700,200,0,24900,400
316,1997-05-08,monthly,Uherske Hradiste,1,0,False,,,,,,42752,5,0,70011,600
317,1993-03-10,monthly,Sumperk,1,0,False,,,,,,13350,2,0,43822,800
318,1994-09-16,monthly,Liberec,1,0,False,,,,,,25200,15,0,46629,200
320,1997-01-23,monthly,Pardubice,1,0,False,,,,,,30888,15,0,59073,800
321,1993-11-11,monthly,Pardubice,1,0,False,,,,,,9200,15,0,38693,1100
322,1993-02-20,monthly,Hl.m. Praha,2,0,False,,,,,,24969,15,0,59676,1000
323,1997-02-23,monthly,Usti nad Orlici,2,0,False,,,,,,9100,15,0,36131,200
324,1996-08-23,monthly,Hl.m. Praha,1,0,False,,,,,,6200,15,0,40672,500
325,1996-10-06,monthly,Prerov,1,0,False,,,,,,12600,15,0,27579,300
326,1997-08-06,monthly,Trebic,1,0,False,,,,,,6700,15,0,26543,5376
327,1993-06-02,monthly,Brno - mesto,1,0,False,,,,,,29400,15,0,82657,700
328,1997-09-18,monthly,Hl.m. Praha,2,0,False,,,,,,9300,15,0,28582,600
329,1996-10-19,monthly,Beroun,1,1,False,,,,,,35763,15,0,86907,1100
330,1996-11-24,monthly,Havlickuv Brod,2,0,True,331584.0,6908.0,48.0,C,False,33590,15,0,73943,400
331,1995-10-02,monthly,Znojmo,1,0,False,,,,,,7700,15,0,32991,1100
332,1996-01-12,monthly,Liberec,1,0,False,,,,,,12600,15,0,41712,300
333,1996-12-23,monthly,Opava,1,0,False,,,,,,2998,15,0,23460,700
334,1993-05-24,monthly,Hl.m. Praha,1,0,False,,,,,,31360,15,0,102027,500
335,1996-01-20,monthly,Ostrava - mesto,1,0,False,,,,,,5800,15,0,33757,1000
336,1995-10-16,monthly,Uherske Hradiste,1,0,False,,,,,,27706,15,0,66275,500
337,1995-11-25,monthly,Pelhrimov,2,0,False,,,,,,59600,15,0,136965,200
338,1995-11-18,monthly,Semily,1,0,False,,,,,,7980,15,0,27654,700
340,1993-11-03,monthly,Hl.m. Praha,2,0,False,,,,,,10000,15,0,47681,1000
341,1996-11-19,monthly,Plzen - sever,1,0,False,,,,,,28800,15,0,48204,600
342,1996-10-13,monthly,Zlin,1,0,False,,,,,,7320,15,0,24092,1000
343,1994-04-26,monthly,Pisek,1,0,False,,,,,,12100,14,0,32201,900
344,1993-12-01,monthly,Brno - mesto,1,0,True,100980.0,1683.0,60.0,C,False,23100,15,0,64600,600
345,1993-11-20,monthly,Kolin,1,0,False,,,,,,24646,15,0,84065,200
346,1993-01-11,monthly,Litomerice,1,0,False,,,,,,40320,15,0,91954,800
347,1993-12-13,monthly,Znojmo,1,0,True,187224.0,7801.0,24.0,B,True,51900,0,0,142312,-2763
348,1995-11-15,monthly,Klatovy,1,1,False,,,,,,27429,15,0,79827,700
349,1997-06-08,monthly,Olomouc,2,0,True,42816.0,3568.0,12.0,C,False,10486,15,0,31617,1100
350,1996-10-13,monthly,Pardubice,1,0,False,,,,,,10550,15,0,30368,500
351,1997-02-17,monthly,Svitavy,1,1,False,,,,,,39533,4,0,62632,600
352,1994-07-04,monthly,Most,1,0,False,,,,,,11250,12,0,31554,200
353,1995-08-30,monthly,Karlovy Vary,1,0,False,,,,,,14550,15,0,73820,1000
354,1993-10-28,monthly,Kromeriz,1,0,False,,,,,,22100,11,0,89881,700
356,1996-03-12,monthly,Karvina,1,1,False,,,,,,27624,15,0,79901,1000
357,1996-03-10,monthly,Strakonice,1,0,False,,,,,,3103,15,0,25731,1000
